Kod wewnętrzny,Nazwa,Kod roboczy,Przyjęto,Sprzedaż,Suma,Brutto,Zwrócono,koszt-jednostka,koszt-przyjęcie,20%,Uszkodzenia - Przyjęcie,Uszkodzenia - Zwrot,source_file,source_sheet,source_sheet_clean,report_date_raw,spot_id_raw,load_timestamp,30%,Paczki 2,Paczki 1
C3J0C3J0H8,Produkt CAT14-1 C3J0C3J0H8,CAT14-1,6,2,2,19.51,0,1.52,9.12,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3B2H8B2C3,Produkt CAT03-2-1 C3B2H8B2C3,CAT03-2-1,3,3,3,36.33,0,4.22,12.66,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3J0G7J0E5,Produkt CAT01-4-1 C3J0G7J0E5,CAT01-4-1,1,1,1,23.98,0,8.39,8.39,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3I9I9H8D4,Produkt CAT01-2-1 C3I9I9H8D4,CAT01-2-1,4,3,3,77.82,0,3.56,14.24,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
D4A1B2A1F6,Produkt CAT02-1-1 D4A1B2A1F6,CAT02-1-1,3,3,3,60.05,0,2.26,6.78,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3F6J0D4I9,Produkt CAT07-1-1 C3F6J0D4I9,CAT07-1-1,3,1,1,13.3,0,4.09,12.27,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
I9A1C3H8,Produkt CAT19-1 I9A1C3H8,CAT19-1,2,2,2,15.75,0,3.85,7.7,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3A1E5C3I9,Produkt CAT17-2 C3A1E5C3I9,CAT17-2,1,1,1,17.44,0,4.83,4.83,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
I9A1C3I9,Produkt CAT20-1 I9A1C3I9,CAT20-1,2,2,2,18.31,0,3.54,7.08,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Dodatek 03,DODATEK-03,2,1,1,16.6,0,2.78,5.56,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3A1F6A1C3,Produkt CAT18-2 C3A1F6A1C3,CAT18-2,2,2,2,42.61,0,2.33,4.66,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
G7E5D4H8,Produkt CAT03-1-1 G7E5D4H8,CAT03-1-1,3,3,3,37.97,0,3.52,10.56,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3F6J0E5F6,Produkt CAT01-1-1 C3F6J0E5F6,CAT01-1-1,2,1,2,40.14,0,4.26,8.52,1,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3H8G7B2I9,Produkt CAT01-3-1 C3H8G7B2I9,CAT01-3-1,6,4,4,63.47,0,4.22,25.32,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Dodatek 06,DODATEK-06,10,10,10,72.51,0,1.15,11.5,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3J0G7I9D4,Produkt CAT09-1-1 C3J0G7I9D4,CAT09-1-1,6,2,2,37.9,0,4.65,27.9,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3F6J0D4I9,Produkt CAT07-1-1 C3F6J0D4I9,C-CAT07-1-1,0,1,1,16.35,0,,,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Dodatek 08,DODATEK-08,5,5,5,4.64,0,0.28,1.4,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3A1F6A1B2,Produkt CAT18-1 C3A1F6A1B2,CAT18-1,3,2,3,53.89,0,3.68,11.04,1,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
C3F6C3E5E5,Produkt CAT04-2-1 C3F6C3E5E5,CAT04-2-1,1,1,1,17.04,0,4.21,4.21,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
,Dodatek 10,DODATEK-10,1,1,1,2.25,0,0.4,0.4,0,0,0,02.03.26.xlsx,Sklep numer 2 #2,Sklep numer 2#2,02.03.26,2,2026-04-20 17:42:39.993432,,,
